A000000,What does the Greek word **aeido (αειδω)** mean?,to sing
A000708,What is the Greek root of the word **hydrangea**?,hydor (ὑδωρ)> water
A000709,What is the meaning of the Greek root of the word **hydrangea**?,water... hydor (ὑδωρ)
A000710,What is the Greek root of the word **hydrant**?,hydor (ὑδωρ)> water
A000711,What is the meaning of the Greek root of the word **hydrant**?,water... hydor (ὑδωρ)
A000712,What is the Greek root of the word **hydraulic**?,hydor (ὑδωρ)> water
A000713,What is the meaning of the Greek root of the word **hydraulic**?,water... hydor (ὑδωρ)
A000714,What is the Greek root of the word **hydrochloric**?,hydor (ὑδωρ)> water
A000715,What is the meaning of the Greek root of the word **hydrochloric**?,water... hydor (ὑδωρ)
A000716,What does the Greek word **cheir (χειρ)** mean?,hand
A000717,What Greek word means **hand**?,cheir (χειρ)
A000718,What is the Greek root of the word **surgery**?,cheir (χειρ)> hand
A000719,What is the meaning of the Greek root of the word **surgery**?,hand... cheir (χειρ)
A000720,What does the Greek word **chronos (χρονος)** mean?,time
A000721,What Greek word means **time**?,chronos (χρονος)
A000722,What is the Greek root of the word **chronic**?,chronos (χρονος)> time
A000723,What is the meaning of the Greek root of the word **chronic**?,time... chronos (χρονος)
A000724,What is the Greek root of the word **chronicle**?,chronos (χρονος)> time
A000725,What is the meaning of the Greek root of the word **chronicle**?,time... chronos (χρονος)
A000726,What is the Greek root of the word **chronology**?,chronos (χρονος)> time
A000727,What is the meaning of the Greek root of the word **chronology**?,time... chronos (χρονος)
A000728,What is the Greek root of the word **crony**?,chronos (χρονος)> time
A000729,What is the meaning of the Greek root of the word **crony**?,time... chronos (χρονος)
A000730,What is the Greek root of the word **synchronize**?,chronos (χρονος)> time
A000731,What is the meaning of the Greek root of the word **synchronize**?,time... chronos (χρονος)
A000732,What is the Greek root of the word **chiropractic**?,cheir (χειρ)> hand
A000733,What is the meaning of the Greek root of the word **chiropractic**?,hand... cheir (χειρ)
A000734,What is the Greek root of the word **logo**?,logos (λογος)> word> speech> reasoning
A000735,What is the meaning of the Greek root of the word **chiropractic**?,word> speech> reasoning... logos (λογος)
